Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Operante
Data Inicial: 2022-08-01
Data Final: 2023-05-09
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-08-01;0;26.7;null;1;
2022-08-02;0;28.1;null;1.5;
2022-08-03;0;28;null;1.2;
2022-08-04;0;26.4;null;1.1;
2022-08-05;.4;26.4;null;1.3;
2022-08-06;4.4;26.2;null;1.2;
2022-08-07;0;28.2;null;1.2;
2022-08-08;6.2;25.4;null;1.1;
2022-08-09;.8;26.7;null;1.4;
2022-08-10;0;25.1;null;2.6;
2022-08-11;0;24.7;null;1.5;
2022-08-12;0;25.9;null;1.1;
2022-08-13;0;27.1;null;1.3;
2022-08-14;0;27.5;null;1;
2022-08-15;0;28.6;null;2;
2022-08-16;0;28.3;null;1.8;
2022-08-17;0;28.5;null;2.2;
2022-08-18;0;28.9;null;1.6;
2022-08-19;19.4;22.8;null;2.8;
2022-08-20;.6;21.1;null;2;
2022-08-21;0;23.2;null;1.4;
2022-08-22;0;25.1;null;1.2;
2022-08-23;0;26.6;null;1.4;
2022-08-24;0;26.1;null;.9;
2022-08-25;0;27;null;1;
2022-08-26;0;27.6;null;.9;
2022-08-27;0;28.8;null;2.1;
2022-08-28;0;27.8;null;1.7;
2022-08-29;6.8;25.8;null;1.6;
2022-08-30;0;26.4;null;1.7;
2022-08-31;0;28.5;null;1.5;
2022-09-01;0;27.9;null;1.2;
2022-09-02;0;28.3;null;.9;
2022-09-03;0;28.6;null;1.5;
2022-09-04;0;27.9;null;1.5;
2022-09-05;0;26.9;null;1.3;
2022-09-06;0;27.5;null;1.2;
2022-09-07;0;29.3;null;1.7;
2022-09-08;0;29.2;null;1.8;
2022-09-09;0;29.1;null;1.6;
2022-09-10;0;28.1;null;1.6;
2022-09-11;3.6;27.4;null;1.8;
2022-09-12;0;28.6;null;1.6;
2022-09-13;0;29.2;null;1.7;
2022-09-14;0;28.5;null;1.7;
2022-09-15;8.2;26.3;null;2.2;
2022-09-16;0;27.1;null;1.7;
2022-09-17;0;28.6;null;1.3;
2022-09-18;0;28.7;null;2;
2022-09-19;0;29.1;null;2.2;
2022-09-20;0;29.7;null;1.9;
2022-09-21;0;30.1;null;1.7;
2022-09-22;0;30.1;null;1.9;
2022-09-23;27.2;26;null;1.5;
2022-09-24;2;26.7;null;1.5;
2022-09-25;6.8;28.3;null;1;
2022-09-26;0;28.7;null;1.1;
2022-09-27;0;28.1;null;1.8;
